,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Stratification2,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
183,2018,2018,US,United States,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,39.2,39.2,,,35.2,43.2,Gender,Male,,,59,DIS,DIS1_0,CRDPREV,GENDER,GENM
447135,2016,2016,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,38.0,38.0,,,36.6,39.4,Gender,Male,,POINT (-120.15503132599969 44.56744942400047),41,DIS,DIS1_0,CRDPREV,GENDER,GENM
447217,2019,2019,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,39.5,39.5,,,33.3,45.6,Race/Ethnicity,Hispanic,,POINT (-120.15503132599969 44.56744942400047),41,DIS,DIS1_0,CRDPREV,RACE,HIS
447218,2016,2016,TN,Tennessee,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,38.3,38.3,,,37.7,38.9,Overall,Overall,,POINT (-85.77449091399967 35.68094058000048),47,DIS,DIS1_0,CRDPREV,OVERALL,OVR
447220,2016,2016,SC,South Carolina,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,36.8,36.8,,,35.5,38.0,Gender,Female,,POINT (-81.04537120699968 33.998821303000454),45,DIS,DIS1_0,CRDPREV,GENDER,GENF
447226,2010,2010,CT,Connecticut,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.7,34.7,,,33.3,36.0,Gender,Female,,POINT (-72.64984095199964 41.56266102000046),9,DIS,DIS1_0,CRDPREV,GENDER,GENF
447229,2016,2016,PA,Pennsylvania,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,34.9,34.9,,,34.3,35.5,Gender,Female,,POINT (-77.86070029399963 40.79373015200048),42,DIS,DIS1_0,CRDPREV,GENDER,GENF
447232,2016,2016,PR,Puerto Rico,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-66.590149 18.220833),72,DIS,DIS1_0,CRDPREV,RACE,ASN
447234,2010,2010,SD,South Dakota,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,POINT (-100.3735306369997 44.353130053000484),46,DIS,DIS1_0,CRDPREV,RACE,HIS
447237,2013,2013,AZ,Arizona,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,39.6,39.6,,,33.4,45.8,Race/Ethnicity,"Black, non-Hispanic",,POINT (-111.76381127699972 34.865970280000454),4,DIS,DIS1_0,CRDPREV,RACE,BLK
447241,2017,2017,AK,Alaska,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,55.8,55.8,,,50.1,61.5,Race/Ethnicity,American Indian or Alaska Native,,POINT (-147.72205903599973 64.84507995700051),2,DIS,DIS1_0,CRDPREV,RACE,AIAN
447243,2014,2014,VA,Virginia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,28.8,28.8,,,25.8,31.8,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-78.45789046299967 37.54268067400045),51,DIS,DIS1_0,CRDPREV,RACE,ASN
447245,2015,2015,KY,Kentucky,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,POINT (-84.77497104799966 37.645970271000465),21,DIS,DIS1_0,CRDPREV,RACE,ASN
447247,2017,2017,ME,Maine,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,POINT (-68.98503133599962 45.254228894000505),23,DIS,DIS1_0,CRDPREV,RACE,HIS
447251,2019,2019,ME,Maine,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,42.6,42.6,,,20.6,64.6,Race/Ethnicity,Hispanic,,POINT (-68.98503133599962 45.254228894000505),23,DIS,DIS1_0,CRDPREV,RACE,HIS
