,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Stratification2,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
529458,2011,2011,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,43.1,43.1,,,37.4,48.9,Race/Ethnicity,"Other, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,OTH
529522,2019,2019,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,34.6,34.6,,,31.0,38.4,Gender,Male,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,GENDER,GENM
529546,2017,2017,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,36.6,36.6,,,32.6,40.9,Gender,Female,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,GENDER,GENF
529657,2013,2013,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,37.2,37.2,,,32.1,42.7,Race/Ethnicity,"Other, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,OTH
529865,2019,2019,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,33.5,33.5,,,20.6,49.4,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,HIS
529874,2019,2019,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,39.8,39.8,,,35.6,44.1,Gender,Female,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,GENDER,GENF
530093,2021,2021,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,41.1,41.1,,,38.7,43.5,Race/Ethnicity,"White, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,WHT
530161,2016,2016,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,34.6,34.6,,,31.4,37.9,Race/Ethnicity,"White, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,WHT
530169,2021,2021,AL,Alabama,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,34.9,34.9,,,24.4,47.0,Race/Ethnicity,"Other, non-Hispanic",,POINT (-86.63186076199969 32.84057112200048),1,IMM,IMM1_0,AGEADJPREV,RACE,OTH
530179,2012,2012,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,32.3,32.3,,,22.0,44.6,Race/Ethnicity,"Multiracial, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,RACE,MRC
530249,2014,2014,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,37.3,37.3,,,27.8,47.9,Race/Ethnicity,"Multiracial, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,RACE,MRC
530254,2013,2013,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,36.2,36.2,,,25.8,48.1,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,RACE,HIS
530409,2018,2018,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,23.5,23.5,,,14.7,35.4,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,RACE,HIS
530412,2015,2015,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,36.6,36.6,,,25.8,48.9,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,HIS
530546,2021,2021,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,40.2,40.2,,,35.2,45.6,Race/Ethnicity,"Other, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,OTH
530567,2018,2018,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,36.4,36.4,,,32.8,40.2,Gender,Female,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,GENDER,GENF
530656,2017,2017,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,32.9,32.9,,,29.1,36.9,Gender,Male,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,GENDER,GENM
530669,2016,2016,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,35.0,35.0,,,30.9,39.4,Gender,Female,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,GENDER,GENF
530690,2020,2020,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,39.1,39.1,,,36.2,42.1,Race/Ethnicity,"White, non-Hispanic",,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,WHT
530891,2017,2017,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,37.6,37.6,,,26.9,49.6,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,RACE,HIS
530925,2011,2011,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,35.3,35.3,,,23.5,49.3,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,RACE,HIS
530938,2021,2021,AL,Alabama,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,33.6,33.6,,,30.3,37.1,Race/Ethnicity,"Black, non-Hispanic",,POINT (-86.63186076199969 32.84057112200048),1,IMM,IMM1_0,AGEADJPREV,RACE,BLK
531060,2013,2013,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,36.8,36.8,,,34.0,39.7,Gender,Female,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,AGEADJPREV,GENDER,GENF
531132,2015,2015,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,35.9,35.9,,,24.4,49.4,Race/Ethnicity,Hispanic,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM1_0,CRDPREV,RACE,HIS
