,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Stratification2,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
447366,2009,2011,NV,Nevada,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH3_0,CRDPREV,OVERALL,OVR
447398,2009,2011,VA,Virginia,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-78.45789046299967 37.54268067400045),51,MTH,MTH3_0,CRDPREV,OVERALL,OVR
447509,2009,2011,IN,Indiana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-86.14996019399968 39.766910452000445),18,MTH,MTH3_0,CRDPREV,OVERALL,OVR
447603,2009,2011,NH,New Hampshire,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-71.50036091999965 43.65595011300047),33,MTH,MTH3_0,CRDPREV,OVERALL,OVR
448116,2009,2011,MS,Mississippi,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-89.53803082499968 32.745510099000455),28,MTH,MTH3_0,CRDPREV,OVERALL,OVR
448167,2009,2011,FL,Florida,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-81.92896053899966 28.932040377000476),12,MTH,MTH3_0,CRDPREV,OVERALL,OVR
448354,2009,2011,LA,Louisiana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-92.44568007099969 31.31266064400046),22,MTH,MTH3_0,CRDPREV,OVERALL,OVR
449065,2009,2011,SC,South Carolina,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-81.04537120699968 33.998821303000454),45,MTH,MTH3_0,CRDPREV,OVERALL,OVR
449094,2009,2011,WA,Washington,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.0,12.0,,,9.8,14.6,Overall,Overall,,POINT (-120.47001078999972 47.52227862900048),53,MTH,MTH3_0,CRDPREV,OVERALL,OVR
449212,2009,2011,GA,Georgia,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,8.2,8.2,,,6.2,10.7,Overall,Overall,,POINT (-83.62758034599966 32.83968109300048),13,MTH,MTH3_0,CRDPREV,OVERALL,OVR
449304,2009,2011,MI,Michigan,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.4,9.4,,,7.8,11.3,Overall,Overall,,POINT (-84.71439026999968 44.6613195430005),26,MTH,MTH3_0,CRDPREV,OVERALL,OVR
449496,2009,2011,CT,Connecticut,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-72.64984095199964 41.56266102000046),9,MTH,MTH3_0,CRDPREV,OVERALL,OVR
450015,2009,2011,MT,Montana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (-109.42442064499971 47.06652897200047),30,MTH,MTH3_0,CRDPREV,OVERALL,OVR
450047,2009,2011,OR,Oregon,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.6,12.6,,,10.4,15.2,Overall,Overall,,POINT (-120.15503132599969 44.56744942400047),41,MTH,MTH3_0,CRDPREV,OVERALL,OVR
450451,2009,2011,AR,Arkansas,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,18.0,18.0,,,14.8,21.6,Overall,Overall,,POINT (-92.27449074299966 34.74865012400045),5,MTH,MTH3_0,CRDPREV,OVERALL,OVR
450780,2009,2011,NM,New Mexico,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.2,12.2,,,10.6,14.0,Overall,Overall,,POINT (-106.24058098499967 34.52088095200048),35,MTH,MTH3_0,CRDPREV,OVERALL,OVR
451254,2009,2011,WY,Wyoming,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,11.3,11.3,,,8.8,14.4,Overall,Overall,,POINT (-108.10983035299967 43.23554134300048),56,MTH,MTH3_0,CRDPREV,OVERALL,OVR
451326,2009,2011,NJ,New Jersey,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,7.2,7.2,,,5.8,8.8,Overall,Overall,,POINT (-74.27369128799967 40.13057004800049),34,MTH,MTH3_0,CRDPREV,OVERALL,OVR
