,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Stratification2,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
192,2012,2012,US,United States,PRAMS,Reproductive Health,Folic acid supplementation,%,Crude Prevalence,33.1,33.1,,,32.3,33.9,Overall,Overall,,,59,RPH,RPH3_0,CRDPREV,OVERALL,OVR
443815,2012,2012,GU,Guam,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,POINT (144.793731 13.444304),66,RPH,RPH2_0,CRDPREV,OVERALL,OVR
503899,2018,2018,US,United States,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,86.3,86.3,,,85.0,87.4,Race/Ethnicity,Hispanic,,,59,RPH,RPH2_0,CRDPREV,RACE,HIS
503903,2020,2020,PR,Puerto Rico,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,POINT (-66.590149 18.220833),72,RPH,RPH2_0,CRDPREV,RACE,OTH
503911,2017,2017,CO,Colorado,PRAMS,Reproductive Health,Folic acid supplementation,%,Crude Prevalence,36.7,36.7,,,33.7,39.8,Overall,Overall,,POINT (-106.13361092099967 38.843840757000464),8,RPH,RPH3_0,CRDPREV,OVERALL,OVR
503914,2020,2020,MD,Maryland,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,94.4,94.4,,,85.0,98.0,Race/Ethnicity,Asian or Pacific Islander,,POINT (-76.60926011099963 39.29058096400047),24,RPH,RPH2_0,CRDPREV,RACE,API
503918,2019,2019,NM,New Mexico,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,POINT (-106.24058098499967 34.52088095200048),35,RPH,RPH2_0,CRDPREV,RACE,OTH
503929,2012,2012,AR,Arkansas,PRAMS,Reproductive Health,Folic acid supplementation,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,POINT (-92.27449074299966 34.74865012400045),5,RPH,RPH3_0,CRDPREV,RACE,AIAN
503933,2018,2018,ME,Maine,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,POINT (-68.98503133599962 45.254228894000505),23,RPH,RPH2_0,CRDPREV,RACE,BLK
503935,2018,2018,MS,Mississippi,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,POINT (-89.53803082499968 32.745510099000455),28,RPH,RPH2_0,CRDPREV,RACE,MRC
503951,2014,2014,ME,Maine,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,92.0,92.0,,,89.4,94.0,Race/Ethnicity,"White, non-Hispanic",,POINT (-68.98503133599962 45.254228894000505),23,RPH,RPH2_0,CRDPREV,RACE,WHT
